"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-4.865659152137,0.596852533821149,-8.15219652497117,3.57372908468727e-16
"2","DM2DM",-0.179313675170648,0.249469669250754,-0.718779464089523,0.47227681270361
"3","AGE",0.00457984226416196,0.00863510823159818,0.530374621988302,0.595852217877541
