"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2.06481199870595,0.180355977389263,-11.4485365475271,2.3914879510877e-30
"2","DM2DM",0.192810360130263,0.0738541715413966,2.61069017641324,0.00903597153264881
"3","AGE",-0.00115528180134772,0.00263401006069939,-0.438601893965799,0.660950024444315
