"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1.54771583744367,0.205088987641705,-7.5465574979948,4.46913821463205e-14
"2","DM2DM",0.603689541958565,0.0922923293885525,6.54105867690283,6.10848571833062e-11
"3","AGE",-0.0211473700135222,0.00311682797903816,-6.78490123797214,1.16165950846142e-11
