"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2.35579920064904,0.446605051270797,-5.27490496120835,1.32824904060013e-07
"2","DM2DM",-1.09092001242017,0.343121556615491,-3.17939806283485,0.00147581267800455
"3","AGE",-0.0338414569742867,0.00722945999183965,-4.68104907039886,2.85410606291557e-06
