"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.403644483534713,0.117124030137597,-3.44629947467237,0.000568320170275657
"2","DM2DM",-0.0018408171524828,0.0489365841877147,-0.0376163801180249,0.969993547719281
"3","AGE",-0.00116056298377828,0.00171054365977856,-0.6784760956809,0.497469875253792
