"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2.45342381062606,0.345650071629805,-7.09799884911845,1.26576238645927e-12
"2","DM2DM",-0.337821481595751,0.183843430690659,-1.83754992129243,0.0661287539149767
"3","AGE",-0.0211788917849207,0.00533428631234386,-3.97033277645998,7.17723158870767e-05
