"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1.16316585498189,0.272944059991773,-4.26155401592896,2.0301027073272e-05
"2","DM2DM",-0.582813754838511,0.177288572706462,-3.28737349475694,0.00101126613169896
"3","AGE",-0.0380621738064529,0.00443079167329498,-8.59037766001483,8.66839250336997e-18
