Term,Coeff,StdErr,P-value,OR,LOR,UOR
SIGMOID,-16.3974392855989,2523.8246996571,0.994816132990379,7.56279974560143e-08,0,Inf
MENTAL,-1.46340093304258,0.364165347785715,5.85681147399463e-05,0.231447796250585,0.111723118069518,0.479471780906797
PSYCHOTH,-1.21775934353961,0.329009981713058,0.000214511315259957,0.295892417966301,0.153235502806662,0.571357951690929
PT,-0.964692412248161,0.269539021163211,0.000344851472023322,0.381100403529535,0.222290442069615,0.653368251995692
DME,-0.962848246850783,0.292134239522606,0.000981033357187136,0.381803864156154,0.212860825999137,0.684833341223443
STRESMGT,-0.879156794597459,0.370722284397382,0.0177174825179573,0.415132806369407,0.197779725827283,0.871349407545627
EXERCISE,-0.780015214493201,0.126498349184596,6.99467781969892e-10,0.458399036943137,0.355933304403702,0.590362504633916
HEPTEST,-0.767839114235119,0.466610503282316,0.0998528195243467,0.464014668441486,0.182489960067846,1.17984360591023
DIETNUTR,-0.744197830607455,0.105485004722316,1.72587517096708e-12,0.475115270045766,0.384747563082423,0.586708121091601
AnyService_0_1,-0.633196561511312,0.0673419068850353,5.31744365020558e-21,0.530892056670554,0.463995523105766,0.6074333949374
ETOHED,-0.57829733575058,0.475610170692592,0.224020671689653,0.560852497549312,0.216640132610251,1.45197254182449
HIV,-0.471426575694082,0.540116571252491,0.382759147697987,0.624111290912456,0.211895994176183,1.83823627699421
TOBACED,-0.388102064810024,0.173001215064394,0.0248743320479066,0.678343104770638,0.47993505086242,0.958774248646776
DEPRESS,-0.364876657750956,0.13531180801785,0.00700593881733461,0.694282279934908,0.529670441787588,0.910052451869535
COLON,-0.189062069405919,0.291031371146015,0.515932671232623,0.827735128072572,0.46249255858828,1.48141938615546
OCCUPY,-0.0524788911680462,0.643464570136773,0.934999180228071,0.948874350473611,0.262000718871201,3.43648878852631
SUBST,-0.00517860434272214,0.210403636697564,0.980363878794304,0.994834781512097,0.653125565666002,1.51532307803173
CAM,0.0187432902651229,0.783141630157842,0.980905683289798,1.0189200483457,0.212770752961585,4.87942092825256
HOMEHLTH,0.100984587276598,0.348878821118691,0.772233500671775,1.10625959115894,0.550585481592269,2.22274346844732
BONEDENS,0.155274768748071,0.311904709357326,0.618605570091439,1.16797884110315,0.62591878672358,2.17947536038268
CervicalCaScreen,0.36032313809851,0.217996548561137,0.0983543517823864,1.43379265274282,0.927122144368215,2.21735764111232
MAMMO,0.44789050365288,0.177590868847051,0.0116677880330215,1.56500732368623,1.09714216358917,2.23238884118638
GENETIC,1.2228741605782,0.851849035876359,0.151129669887627,3.39693705892806,0.618273779221605,18.6635464257379
RADTHER,2.91487621057347,0.980286768810405,0.00294430764626431,18.4465287761867,2.59685909130938,131.033071848005
