"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-3.01366067036823,0.589920532427217,-5.10858752104895,3.24576051797498e-07
"2","DM2DM",-0.165937242088513,0.360870732519782,-0.459824605142831,0.645642120601565
"3","AGE",-0.0367572448588785,0.00958812569146035,-3.83362150661169,0.000126270383929174
