"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-3.87348793084798,0.283675027911255,-13.654666606959,1.89353954169311e-42
"2","DM2DM",0.4163674083169,0.104137221622171,3.99825731694244,6.38105602868234e-05
"3","AGE",0.011548380033376,0.00403071062893099,2.86509776972971,0.00416880509105497
