"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-2.69382721411178,0.151587128016126,-17.7708176767173,1.18944307676539e-70
"2","DM2DM",0.421983281638044,0.0557592043764262,7.56795736878286,3.79138358285894e-14
"3","AGE",0.0193445988242945,0.00215258826942135,8.98666925723549,2.54836093604076e-19
