"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-1.82687390354018,0.272786442877042,-6.69708466547086,2.12618449877586e-11
"2","DM2DM",0.593756745643722,0.134876072670529,4.40223928445881,1.07139298426468e-05
"3","AGE",-0.0302628545959013,0.00426087448412519,-7.10249849148388,1.22521368413641e-12
